站点名称,POI编号,拼音名称,gd经度,gd纬度,路线名称,城市名称,行政区名称,bd经度,bd纬度
八大山人,BV10689055,BaDa ShanRen,115.908447,28.601805,3号线,南昌,青云谱区,115.914603,28.60768
邓埠,BV10689050,DengBu,115.909837,28.589895,3号线,南昌,青云谱区,115.916279,28.596145
振兴大道,BV10689059,ZhenXing DaDao,115.912332,28.576072,3号线,南昌,南昌县,115.91869,28.582344
沥山,BV10689051,Li Shan,115.915972,28.556331,3号线,南昌,南昌县,115.922483,28.562723
柏岗,BV10689061,BaiGang,115.91819,28.544366,3号线,南昌,南昌县,115.924624,28.550696
斗门,BV10689047,DouMen,115.927796,28.528927,3号线,南昌,南昌县,115.934423,28.535076
银三角北,BV10689053,Yin SanJiao Bei,115.934838,28.520919,3号线,南昌,南昌县,115.941386,28.52705
象峰,BV10687409,xiang feng,119.32964,26.14343,1号线,福州,晋安区,119.335745,26.148543
秀山,BV10687406,xiu shan,119.321016,26.133785,1号线,福州,晋安区,119.327528,26.139502
罗汉山,BV10687407,luo han shan,119.31837,26.126086,1号线,福州,晋安区,119.325079,26.131633
福州火车站,BV10687408,fu zhou huo che zhan,119.318133,26.112978,1号线,福州,晋安区,119.324736,26.118699
斗门,BV10687401,dou men,119.313723,26.103973,1号线,福州,晋安区,119.319618,26.109214
树兜,BV10687402,shu dou,119.306675,26.102362,1号线,福州,鼓楼区,119.312739,26.108384
屏山,BV10687400,ping shan,119.297038,26.096256,1号线,福州,鼓楼区,119.303596,26.102313
东街口,BV10687403,dong jie kou,119.29925,26.086006,1号线,福州,鼓楼区,119.305751,26.092151
南门兜,BV10210902,nan men dou,119.303197,26.07625,1号线,福州,鼓楼区,119.308691,26.083319
茶亭,BV10687399,cha ting,119.304376,26.069167,1号线,福州,台江区,119.311014,26.075061
达道,BV10687404,da dao,119.309855,26.056982,1号线,福州,台江区,119.318498,26.06444
上藤,BV10687405,shang teng,119.320579,26.043708,1号线,福州,仓山区,119.328492,26.049651
三叉街,BV10210904,san cha jie,119.326693,26.034785,1号线,福州,仓山区,119.332475,26.041288
白湖亭,BV10208407,bai hu ting,119.335262,26.025916,1号线,福州,仓山区,119.341862,26.031555
葫芦阵,BV10208456,hu lu zhen,119.34355,26.017109,1号线,福州,仓山区,119.349999,26.023042
黄山,BV10208454,huang shan,119.348788,26.010176,1号线,福州,仓山区,119.355135,26.016119
排下,BV10208471,pai xia,119.354008,26.001603,1号线,福州,仓山区,119.360233,26.007267
城门,BV10208691,cheng men,119.36021,25.996162,1号线,福州,仓山区,119.366622,26.002129
三角埕,BV10208689,san jiao cheng,119.368306,25.990796,1号线,福州,仓山区,119.375122,25.996869
胪雷,BV10210905,lu lei,119.380086,25.984504,1号线,福州,仓山区,119.386791,25.990761
福州火车南站,BV10603792,fu zhou huo che nan zhan,119.390592,25.985951,1号线,福州,仓山区,119.396985,25.992232
安平,BV11473935,AnPing,119.402224,25.992335,1号线,福州,仓山区,119.408342,25.998811
梁厝,BV10687393,LiangCuo,119.415109,25.994261,1号线,福州,仓山区,119.422353,26.000786
下洋,BV10687392,XiaYang,119.420776,25.984204,1号线,福州,仓山区,119.427437,25.989589
三江口,BV11473936,SanJiangKou,119.426122,25.978861,1号线,福州,仓山区,119.43177,25.985333
苏洋,BV10210910,su yang,119.15963,26.098509,2号线,福州,闽侯县,119.166435,26.105026
沙堤,BV10208894,sha di,119.173983,26.085788,2号线,福州,闽侯县,119.180665,26.091971
上街,BV10208880,shang jie,119.187282,26.075681,2号线,福州,闽侯县,119.19396,26.081853
金屿,BV10604610,jin yu,119.200134,26.067193,2号线,福州,闽侯县,119.206642,26.073217
福州大学,BV10604609,fu zhou da xue,119.20348,26.058382,2号线,福州,闽侯县,119.209948,26.064652
董屿·福建师大,BV10210913,dong yu ? fu jian shi da,119.207305,26.041328,2号线,福州,闽侯县,119.213899,26.047142
厚庭,BV10210914,hou ting,119.214929,26.04133,2号线,福州,闽侯县,119.221072,26.047144
桔园洲,BV10210915,jie yuan zhou,119.242783,26.046869,2号线,福州,仓山区,119.249842,26.052792
洪湾,BV10210916,hong wan,119.250067,26.047386,2号线,福州,仓山区,119.25637,26.053358
金山,BV10210917,jin shan,119.261982,26.047441,2号线,福州,仓山区,119.267354,26.053943
金祥,BV10210918,jin xiang,119.271121,26.048511,2号线,福州,仓山区,119.27809,26.054888
祥坂,BV10210919,xiang ban,119.286026,26.060745,2号线,福州,台江区,119.292602,26.067193
宁化,BV10210920,ning hua,119.293285,26.062753,2号线,福州,台江区,119.300979,26.068972
西洋,BV10210921,xi yang,119.296899,26.071669,2号线,福州,台江区,119.303358,26.077714
南门兜,BV10210902,nan men dou,119.303197,26.07625,2号线,福州,鼓楼区,119.308691,26.083319
水部,BV10210922,shui bu,119.314169,26.076428,2号线,福州,鼓楼区,119.320145,26.082166
紫阳,BV10604608,zi yang,119.327032,26.076414,2号线,福州,晋安区,119.333901,26.082087
五里亭,BV10210923,wu li ting,119.340283,26.074264,2号线,福州,晋安区,119.346913,26.079876
前屿,BV10208537,qian yu,119.350576,26.072535,2号线,福州,晋安区,119.35716,26.078359
上洋,BV10208603,shang yang,119.363028,26.066502,2号线,福州,晋安区,119.369776,26.072359
鼓山,BV10210924,gu shan,119.375054,26.053308,2号线,福州,晋安区,119.381764,26.05943
洋里,BV10744868,yang li,119.372234,26.045256,2号线,福州,晋安区,119.378776,26.051279
东莞火车站,BV10525640,dong guan huo che zhan,113.86,23.0886,2号线,东莞,市辖区,113.866867,23.094734
茶山,BV10525641,cha shan,113.844,23.0795,2号线,东莞,市辖区,113.851695,23.08566
榴花公园,BV10525633,liu hua gong yuan,113.814,23.0803,2号线,东莞,市辖区,113.820832,23.086034
下桥,BV10525632,xia qiao,113.788,23.0628,2号线,东莞,市辖区,113.794912,23.06886
天宝,BV10525631,tian bao,113.779,23.0473,2号线,东莞,市辖区,113.785166,23.053432
东城,BV10525642,dong cheng,113.776,23.0327,2号线,东莞,市辖区,113.782736,23.038726
旗峰公园,BV10525634,qi feng gong yuan,113.768,23.02,2号线,东莞,市辖区,113.774224,23.026302
鸿福路,BV10525629,hong fu lu,113.76,23.0113,2号线,东莞,市辖区,113.765812,23.017061
